Site No.,State,District,Location,Pin code,Lat,Long,Address
1,Andhra Pradesh,WEST GODAVARI,West Godavari,534401,28.051417,75.155516,WEST GODAVARIWest Godavari534401Andhra Pradesh
2,Andhra Pradesh,WEST GODAVARI,Junnuru,534265,22.080573,71.059047,JinnuruWest GodavariJunnuru534265Andhra Pradesh
3,Andhra Pradesh,NELLORE,Nellore,524101,29.972411,77.574005,"Gudur to Manubolu Road,NelloreNellore524101Andhra Pradesh"
4,Andhra Pradesh,PRAKASAM,Prakasham,523320,27.9407,78.066678,"PEDDA ARAVEEDU (M),PRAKASAMPrakasham523320Andhra Pradesh"
5,Andhra Pradesh,PRAKASAM,Prakasham,523326,28.410597,78.112781,"SY.NO. 304/A1,RAJUPALEM (V),PRAKASHAMPrakasham523326Andhra Pradesh"
6,Andhra Pradesh,KURNOOL,Kurnool,518396,27.175054,81.172656,KurnoolKurnool518396Andhra Pradesh
7,Andhra Pradesh,KURNOOL,BETAMCHERLA,518599,17.388664,78.422924,KURNOOLBETAMCHERLA518599Andhra Pradesh
8,Andhra Pradesh,EAST GODAVARI,Pedapudi,533344,16.962387,74.549471,"GANDREDU (V),EAST GODAVARIPedapudi533344Andhra Pradesh"
9,Andhra Pradesh,ANANTAPUR,Anantpur,515004,21.341736,74.881943,"Near Malleswari Dairy,AnantpurAnantpur515004Andhra Pradesh"
10,Andhra Pradesh,PRAKASAM,Obbapuram,523305,20.120134,79.021699,OBBAPURAM (V)PRAKASHAMObbapuram523305Andhra Pradesh
11,Andhra Pradesh,GUNTUR,GURZALA,522415,29.641187,76.645562,GUNTURGURZALA522415Andhra Pradesh
12,Andhra Pradesh,PRAKASAM,CHILAKUPADU,523225,20.708046,76.558764,PRAKASHAMCHILAKUPADU523225Andhra Pradesh
13,Andhra Pradesh,EAST GODAVARI,ALLAVARAM,533217,29.744682,78.016634,EAST GODAVARIALLAVARAM533217Andhra Pradesh
14,Andhra Pradesh,EAST GODAVARI,EAST GODAVARI,533288,23.565231,72.41852,KRISHNUNIPALEM (V)EAST GODAVARIEAST GODAVARI533288Andhra Pradesh
15,Andhra Pradesh,KURNOOL,Kurnool,518464,15.980961,73.704918,KURNOOLKurnool518464Andhra Pradesh
16,Andhra Pradesh,KURNOOL,KURNOOL,518124,11.832227,79.750041,KURNOOL ROADKURNOOLKURNOOL518124Andhra Pradesh
17,Andhra Pradesh,KURNOOL, KURNOOL,518513,29.06016,78.513562,SANTHAJUTURU (V)KURNOOL KURNOOL518513Andhra Pradesh
18,Andhra Pradesh,KURNOOL,Kurnool,533294,23.534899,72.976937,KurnoolKurnool533294Andhra Pradesh
19,Andhra Pradesh,ANANTAPUR,ANANTAPUR,515004,23.982423,73.202356,PAPAMPETANANTAPURANANTAPUR515004Andhra Pradesh
20,Andhra Pradesh,KURNOOL,KURNOOL,518002,22.334883,69.99446,OPP: VENKANNA BAVIKURNOOLKURNOOL518002Andhra Pradesh
